ID;Drug;Drug1;conc1;conc2;conc3;conc4;curve;Value;unit;Valueunit;Drug2;Unidedrug2;Cell_line;Study;Cell_line_bin;BLQ
1;3;Navitoclax;0;0;0;0;Navitoclax on SU-DHL-4 + 0 然 of A12;104.44444;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;0.08;0;Navitoclax on SU-DHL-4 + 0 然 of A12;94.65021;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;0.16;0;Navitoclax on SU-DHL-4 + 0 然 of A12;98.68313;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;0.32;0;Navitoclax on SU-DHL-4 + 0 然 of A12;92.34568;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;0.64;0;Navitoclax on SU-DHL-4 + 0 然 of A12;80.24691;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;1.3;0;Navitoclax on SU-DHL-4 + 0 然 of A12;69.300415;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;2.6;0;Navitoclax on SU-DHL-4 + 0 然 of A12;47.407406;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;5;0;Navitoclax on SU-DHL-4 + 0 然 of A12;35.308643;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;10;0;Navitoclax on SU-DHL-4 + 0 然 of A12;22.057613;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
1;3;Navitoclax;0;0;20;0;Navitoclax on SU-DHL-4 + 0 然 of A12;4.7736626;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;0;5;Navitoclax on SU-DHL-4 + 5 然 of A12;91.76955;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;0.08;5;Navitoclax on SU-DHL-4 + 5 然 of A12;78.51852;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;0.16;5;Navitoclax on SU-DHL-4 + 5 然 of A12;75.06173;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;0.32;5;Navitoclax on SU-DHL-4 + 5 然 of A12;62.962963;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;0.64;5;Navitoclax on SU-DHL-4 + 5 然 of A12;50.864197;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;1.3;5;Navitoclax on SU-DHL-4 + 5 然 of A12;26.666666;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;2.6;5;Navitoclax on SU-DHL-4 + 5 然 of A12;9.958848;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;5;5;Navitoclax on SU-DHL-4 + 5 然 of A12;4.7736626;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
2;3;Navitoclax;0;0;10;5;Navitoclax on SU-DHL-4 + 5 然 of A12;2;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;1
3;3;Navitoclax;0;0;0;10;Navitoclax on SU-DHL-4 + 10 然 of A12;86.00823;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
3;3;Navitoclax;0;0;0.08;10;Navitoclax on SU-DHL-4 + 10 然 of A12;72.18107;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
3;3;Navitoclax;0;0;0.16;10;Navitoclax on SU-DHL-4 + 10 然 of A12;58.35391;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
3;3;Navitoclax;0;0;0.32;10;Navitoclax on SU-DHL-4 + 10 然 of A12;34.15638;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
3;3;Navitoclax;0;0;0.64;10;Navitoclax on SU-DHL-4 + 10 然 of A12;18.600822;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
3;3;Navitoclax;0;0;1.3;10;Navitoclax on SU-DHL-4 + 10 然 of A12;8.806584;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
3;3;Navitoclax;0;0;2.6;10;Navitoclax on SU-DHL-4 + 10 然 of A12;3.6213992;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
3;3;Navitoclax;0;0;5;10;Navitoclax on SU-DHL-4 + 10 然 of A12;2;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;1
3;3;Navitoclax;0;0;10;10;Navitoclax on SU-DHL-4 + 10 然 of A12;2;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;1
3;3;Navitoclax;0;0;20;10;Navitoclax on SU-DHL-4 + 10 然 of A12;2;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;1
4;3;Navitoclax;0;0;0;15;Navitoclax on SU-DHL-4 + 15 然 of A12;81.39918;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
4;3;Navitoclax;0;0;0.08;15;Navitoclax on SU-DHL-4 + 15 然 of A12;49.711933;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
4;3;Navitoclax;0;0;0.16;15;Navitoclax on SU-DHL-4 + 15 然 of A12;34.73251;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
4;3;Navitoclax;0;0;0.32;15;Navitoclax on SU-DHL-4 + 15 然 of A12;18.02469;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
4;3;Navitoclax;0;0;0.64;15;Navitoclax on SU-DHL-4 + 15 然 of A12;7.0781894;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
4;3;Navitoclax;0;0;1.3;15;Navitoclax on SU-DHL-4 + 15 然 of A12;2.4691358;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;0
4;3;Navitoclax;0;0;2.6;15;Navitoclax on SU-DHL-4 + 15 然 of A12;2;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;1
4;3;Navitoclax;0;0;5;15;Navitoclax on SU-DHL-4 + 15 然 of A12;2;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;1
4;3;Navitoclax;0;0;10;15;Navitoclax on SU-DHL-4 + 15 然 of A12;2;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;1
4;3;Navitoclax;0;0;20;15;Navitoclax on SU-DHL-4 + 15 然 of A12;2;然;%viability;A-1210477;然;SU-DHL-4;Philips_2015_loss;1;1
5;3;Navitoclax;0;0;0;0;Navitoclax on KARPAS-422 + 0 然 of A12;96.714226;然;%viability;A-1210477;然;KARPAS-422;Philips_2015_loss;2;0
